# lith v0.1.0 copy-vs-mount cost-to-result. c8gd.4xlarge, us-east-1, s3://1000genomes.
# Rates (AWS Price List API): c8gd.4xlarge=$0.78384/hr; gp3=$0.08/GiB-month (200GiB prorated by hours alive); S3 GET=$0.0000004/request ($0.0004/1000). Cross-region/egress=$0 (in-region).
# W1=samtools view -c chr20:30M-31M on 14GiB CRAM (~1%); W2=flagstat 3.8GiB CRAM (100%); W3=flagstat 8 heterogeneous CRAMs x8 parallel.
# P1=aws s3 cp -> gp3 EBS then compute; P2=aws s3 cp -> local NVMe then compute; P3=lith mount, compute on mount.
workload,path,run,wall_s,copy_s,compute_s,bytes_from_s3,s3_get_reqs,usd_instance,usd_gp3,usd_s3get,usd_total,notes
W1,P1,1,82.8,82.6,0.2,14086328874,1680,0.01803,0.000504,0.000672,0.01920,"copy pulls FULL 14.09GB to answer a 1% region query (compute ~0.2s once local)"
W1,P1,2,79.5,79.3,0.2,14086328874,1680,0.01731,0.000484,0.000672,0.01847,"copy pulls FULL 14.09GB to answer a 1% region query (compute ~0.2s once local)"
W1,P1,3,79.1,79.0,0.1,14086328874,1680,0.01722,0.000482,0.000672,0.01838,"copy pulls FULL 14.09GB to answer a 1% region query (compute ~0.2s once local)"
W1,P2,1,26.7,26.6,0.1,14086328874,1680,0.00581,0.000000,0.000672,0.00649,"copy pulls FULL 14.09GB for 1% query"
W1,P2,2,25.7,25.6,0.1,14086328874,1680,0.00560,0.000000,0.000672,0.00627,"copy pulls FULL 14.09GB for 1% query"
W1,P3,1,0.4,0.0,0.4,51065452,9,0.00009,0.000000,0.000004,0.00009,"COLD (fresh cache); 0.4s pulls 48.7MB(0.35%)/9 GETs vs copy full 14.09GB; warm re-query 0.1s/0 bytes"
W2,P1,1,56.8,9.9,46.9,3818656947,456,0.01237,0.000346,0.000182,0.01290,""
W2,P2,1,54.1,7.5,46.6,3818656947,456,0.01178,0.000000,0.000182,0.01196,""
W2,P3,1,47.5,0.0,47.5,3818656947,456,0.01034,0.000000,0.000182,0.01052,"same 3.82GB as copy, no staging; overlaps fetch with flagstat"
W3,P1,1,928.6,424.2,504.4,60032714457,7157,0.20219,0.005654,0.002863,0.21070,"gp3 125MB/s caps BOTH copy(424s) and 8x-parallel compute(504s)"
W3,P2,1,205.2,66.2,139.0,60032714457,7157,0.04468,0.000000,0.002863,0.04754,""
W3,P3,1,183.6,0.0,183.6,67724490760,15138,0.03998,0.000000,0.006055,0.04603,"lith pulls ~same bytes as copy but no staging; overlaps fetch with 8x flagstat compute (~184s floor)"
