# lith application benchmarks (canonical; supersedes apps-v0.1.0.csv on the stranded PR #62). c8gd.4xlarge, us-east-1, fair --disk-cache 0.
# lith cold/warm from #61 (v0.1) + session-19 corrections; mount_s3 = mountpoint-s3 1.24 cold (session 18/19); copy = s5cmd + gp3-1000 (session 18, #84).
# W3 lith corrected to 141 s (post-#79 NIC-baseline sizing; the 184 s was pre-#79, #85). gb = bytes pulled from S3 (lith metrics / NIC).
version,workload,object,lith_cold_s,lith_warm_s,mount_s3_cold_s,gb_touched,copy_note
v0.2,R2 samtools view -c 1000x1Mb,14 GB CRAM,50,44,59.3,0.86,copy-best 62s (stages whole 14 GB)
v0.2,S1 samtools flagstat,3.8 GB CRAM,47.5,46.5,49.1,3.82,copy-best 66s
v0.2,W3 flagstat 8 CRAMs 8-way,60 GB,141,141,143.8,60.0,copy-best 219s
v0.2,R1 tabix 1000x10kb,341 MB VCF,7.9,7.2,37.0,0.32,-
v0.2,S3 xarray yearly-mean,1.4 TB Zarr store,35,22,79,0.80,in-place s3fs ~25s (same box); copy = whole store infeasible
v0.2,BIG xarray ONE-MONTH (large-object selectivity),1.4 TB Zarr store,7.3,0.8,36.3,0.13,copy s5cmd+gp3-1000+NVMe DID NOT FINISH: staged 886 of 1434 GB in 20 min
# v0.3 bgzf-family access plan (#107). R1/R2/S1 wall-clock unchanged (samtools/tabix decode-bound: samtools ~90-99% one core, lith ~2%). bgzf's effect is byte-selectivity, not latency. gb = S3 bytes pulled (lith metric).
v0.3,R2single samtools view -c 20:30M-31M (point query),14 GB CRAM,0.28,0.06,,0.051,base adaptive readahead pulls 0.143 GB; bgzf tier-2 slice-precise pulls 0.051 (2.8x fewer bytes)
v0.3,R2 samtools view -c 1000x1Mb,14 GB CRAM,46.4,44.5,,0.588,bgzf ties base 0.586 GB (was 2.41 GB / 4x before the per-slice seek-extend fix)
# v0.3 footer family (#108). R4 = pyarrow projection (id,confidence,basic_category; ~1% filter) on Overture places (CC substituted: denies ListObjectsV2). Cross-region us-west-2<-us-east-1. mount_s3 col = pyarrow-native S3 (the in-place competitor). lith fetches whole file (1 MiB chunk granularity rounds up scattered column chunks) vs pyarrow byte-exact; lith wins wall via few coalesced GETs, not bytes (#118).
v0.3,R4 pyarrow projection single (4xl),650 MB Parquet,2.4,0.2,10.5,0.605,pyarrow-native 10.5s/0.129 GB byte-exact; lith 4x faster (78 GETs vs hundreds) 4.7x more bytes
v0.3,R4 pyarrow projection 8-concurrent (4xl),8x650 MB Parquet,7.8,,11.2,5.12,pyarrow-native 11.2s/1.0 GB; lith wins wall not bytes
v0.3,R4 pyarrow projection single (c8g.large),650 MB Parquet,10.0,,11.5,0.614,small box bandwidth-bound: byte over-fetch erases most of the wall edge (~tie)
# v0.3 sparse chunk fills (#118). R4 = Overture places projection (id,confidence,basic_category; ~1% filter). CC/nyc-tlc S3 now CDN-only (inaccessible); no writable in-region bucket -> measured cross-region us-west-2<-us-east-1 (bytes/GETs region-independent = the criterion; wall cross-region). mount_s3 col = pyarrow-native S3.
v0.3,R4 pyarrow projection single (#118),650 MB Parquet,19.0,0.2,10.2,0.273,base(pre-#118) 605 MB/2.6s; post #118 273 MB (2.2x byte cut) but 2076 GETs; pyarrow 130 MB. Criterion NOT met (#124)
v0.3,R4 pyarrow projection 8-concurrent (#118),8x650 MB Parquet,74,,10.6,2.04,base 5115 MB/9.8s; post 2040 MB/15494 GETs; pyarrow 1008 MB. GET explosion regresses cross-region wall (#124)
# v0.3 footer family FINAL verdict (in-region us-east-1, sessions 29-32; supersedes the cross-region criterion-not-met rows above). Criterion 3 = MET BY STREAMING; byte-precise tier 2 (--footer-tier2) is EXPERIMENTAL and OFF by default (#122) — measured slower than streaming on every tested instance class, so lith streams the file (tier 1: footer+head prefetch only). mount_s3 col = pyarrow-native S3 (the in-place competitor). Round-trips cost time in-region; bytes don't.
v0.3,R4 pyarrow projection single (in-region 4xl; lith streams),650 MB Parquet,0.9,0.2,3.7,0.606,lith whole-file streaming (76 GETs) beats pyarrow-native byte-exact ~4x single-process; tier 2 byte-precise experimental/off (5.7-6.3s / 718 GETs / 618 MB if enabled)
v0.3,R4 pyarrow projection 8-concurrent (in-region 4xl; lith streams),8x650 MB Parquet,3.24,,3.3,4.9,lith streaming ties pyarrow-native 8-wide; tier 2 off (27-29s / 13k GETs if enabled)
v0.3,R4 pyarrow projection single (in-region c8g.large; lith streams),650 MB Parquet,,,4.3,,small-NIC tie with pyarrow-native; tier 2 byte-precise 6.8-8.6s / 1452 GETs / 335 MB if enabled
